Sample	Encoding	total_read_pairs	trimmed_read_pairs	avg_sequence_length	sequence_length	gc_content	percent_duplication	percent_aligned	inner_distance_maxima	median_insert_size	mean_insert_size	mean_mapping_quality	mean_coverage	avg_aligned_read_length	pct_mrna_bases	pct_coding_bases	pct_intronic_bases	pct_utr_bases	pct_intergenic_bases	median_cv_coverage	median_5prime_to_3prime_bias	median_5prime_bias	median_3prime_bias	rRNA_percent_aligned	uni_vec_percent_aligned	percent_antisense_strand	percent_sense_strand	median_tin	TSS_Site	TissueType
140325_UNC11-SN627_0349_AC3KB8ACXX_ACTTGA_L005	Sanger / Illumina 1.9	69239595	65834744	47.031	35-48	49.0	25.4	89.79	42.5	186.0	2164.129	19.91	20.925	94	80.775	37.026	5.293	43.749	13.914	0.532	0.249	0.085	0.408	4.32	0.13	25.5	25.2	78.146	Unknown	Unknown
140325_UNC11-SN627_0349_AC3KB8ACXX_ATCACG_L003	Sanger / Illumina 1.9	66996631	64412281	47.083	35-48	49.0	24.3	92.74	37.5	200.0	2757.636	16.846	24.638	94	80.652	40.402	4.694	40.25	14.652	0.501	0.315	0.085	0.319	1.06	0.15	1.6	1.7	80.724	Unknown	Unknown
140325_UNC11-SN627_0349_AC3KB8ACXX_GCCAAT_L005	Sanger / Illumina 1.9	72664802	69750373	47.052	35-48	49.0	23.3	93.59	42.5	190.0	2801.042	16.728	27.988	94	81.264	41.279	5.627	39.984	13.109	0.493	0.344	0.087	0.329	0.74	0.12	25.6	25.8	81.787	Unknown	Unknown
140325_UNC11-SN627_0349_AC3KB8ACXX_GTCCGC_L005	Sanger / Illumina 1.9	60776271	56862039	47.025	35-48	49.0	23.4	90.71	42.5	192.0	2251.534	21.708	18.126	94	85.596	39.668	6.227	45.928	8.146	0.535	0.204	0.069	0.399	4.16	0.13	8.1	8.1	76.118	Unknown	Unknown
140325_UNC11-SN627_0349_AC3KB8ACXX_TGACCA_L006	Sanger / Illumina 1.9	62915021	59514102	47.062	35-48	49.0	22.2	91.4	37.5	197.0	2558.452	17.096	22.322	94	82.801	41.075	4.774	41.725	12.398	0.502	0.289	0.08	0.339	2.81	0.13	3.4	3.4	80.288	Unknown	Unknown
TCGA-02-0047-01A-01R-1849	Sanger / Illumina 1.9	57288682	42843879	73.128	35-76	49.0	19.1	94.66	-17.5	186.0	2471.72	17.562	25.801	146	85.933	47.508	4.589	38.425	9.477	0.507	0.293	0.06	0.289	1.02	0.02	38.2	37.2	81.310	MD Anderson Cancer Center	Primary Solid Tumor
TCGA-02-0055-01A-01R-1849	Sanger / Illumina 1.9	61204670	49881942	73.052	35-76	49.0	22.9	93.53	-7.5	221.0	2448.682	19.987	27.402	146	90.894	54.049	3.656	36.845	5.447	0.531	0.27	0.061	0.361	1.36	0.01	44.5	44.0	77.838	MD Anderson Cancer Center	Primary Solid Tumor
TCGA-02-2483-01A-01R-1849	Sanger / Illumina 1.9	68962638	59424469	73.762	35-76	48.0	27.2	92.88	-17.5	187.0	1774.655	23.163	27.698	147	87.764	47.231	3.677	40.532	8.556	0.565	0.188	0.051	0.402	1.55	0.01	32.8	33.4	72.982	MD Anderson Cancer Center	Primary Solid Tumor
TCGA-02-2485-01A-01R-1849	Sanger / Illumina 1.9	60797283	52321575	73.726	35-76	49.0	22.2	93.54	-17.5	182.0	2082.517	20.309	27.931	147	88.214	48.182	5.468	40.032	6.316	0.548	0.27	0.065	0.303	2.0	0.01	42.4	42.5	77.418	MD Anderson Cancer Center	Primary Solid Tumor
TCGA-02-2486-01A-01R-1849	Sanger / Illumina 1.9	57754817	47120623	73.713	35-76	49.0	30.8	91.13	-17.5	184.0	1816.897	21.448	22.951	147	91.55	49.406	3.638	42.144	4.804	0.544	0.239	0.063	0.358	4.33	0.01	45.3	46.0	74.292	MD Anderson Cancer Center	Primary Solid Tumor
